ID,EN_NAME,GR_NAME,LAT,LONG
0015,SAN ROCCO SQUARE LINE 15 AIRPORT,ΠΛΑΤΕΙΑ ΣΑΡΟΚΟΥ ΓΡΑΜΜΗ 15 ΑΕΡΟΔΡΟΜΙΟ,39.621967,19.918359
201,KANONI TO TOWN,ΚΑΝΟΝΙ ΠΡΟΣ ΠΟΛΗ,39.591988,19.917241
202,HOTEL CORFU HOLIDAY PALACE TO TOWN,ΞΕΝΟΔΟΧΕΙΟ CORFU HOLIDAY PALACE ΠΡΟΣ ΠΟΛΗ,39.593054,19.918864
203,ELIA KANONIOU TO TOWN,ΕΛΙΑ ΚΑΝΟΝΙΟΥ ΠΡΟΣ ΠΟΛΗ,39.596274,19.920300
204,SCHOOL KANONI TO TOWN,ΣΧΟΛΕΙΟ ΚΑΝΟΝΙΟΥ ΠΡΟΣ ΠΟΛΗ,39.597330,19.920843
205,HOTEL DIVANI TO TOWN,ΞΕΝΟΔΟΧΕΙΟ DIVANI ΠΡΟΣ ΠΟΛΗ,39.599335,19.921742
206,GEORGIADI TO TOWN,ΓΕΩΡΓΙΑΔΗ ΠΡΟΣ ΠΟΛΗ,39.600721,19.921802
207,KORIFO TO TOWN,ΚΟΡΥΦΟ ΠΡΟΣ ΠΟΛΗ,39.604153,19.921891
208,VILLA KALAVRETZOU TO TOWN,ΒΙΛΛΑ ΚΑΛΑΒΡΕΤΖΟΥ ΠΡΟΣ ΠΟΛΗ,39.605647,19.921409
209,MON REPO MUSEUM - HOTEL ARION TO TOWN,ΜΟΝ ΡΕΠΟ ΜΟΥΣΕΙΑ - ΞΕΝΟΔΟΧΕΙΟ ARION ΠΡΟΣ ΠΟΛΗ,39.607627,19.922814
210,MON REPO ROUAL BATHS TO TOWN,ΜΟΝ ΡΕΠΟ ΛΟΥΤΡΑ ΠΡΟΣ ΠΟΛΗ,39.609349,19.926776
211,ANEMOMILOS TO TOWN,ΑΝΕΜΟΜΥΛΟΣ ΠΡΟΣ ΠΟΛΗ,39.610555,19.927057
212,PLAYGROUND GARITSA TO TOWN,ΠΑΙΔΙΚΗ ΧΑΡΑ ΓΑΡΙΤΣΑ ΠΡΟΣ ΠΟΛΗ,39.610584,19.924920
213,AGAMON TO TOWN,ΑΓΑΜΩΝ ΠΡΟΣ ΠΟΛΗ,39.610941,19.922657
214,DESSILA TO TOWN,ΔΕΣΣΥΛΑ ΠΡΟΣ ΠΟΛΗ,39.611604,19.921488
215,KARATZA TO TOWN,ΚΑΡΑΤΖΑ ΠΡΟΣ ΠΟΛΗ,39.613109,19.920375
216,KASTROS TO TOWN,ΚΑΣΤΡΟΣ ΠΡΟΣ ΠΟΛΗ,39.614530,19.920076
217,DOULGAS OBELISK TO TOWN,ΚΟΛΩΝΑ ΝΤΟΥΓΚΛΑ ΠΡΟΣ ΠΟΛΗ,39.616648,19.920635
218,CORFU TOWN HALL TO TOWN,ΔΗΜΑΡΧΕΙΟ ΚΕΡΚΥΡΑΣ ΠΡΟΣ ΠΟΛΗ,39.618054,19.920355
219,POST OFFICE TO TOWN,ΤΑΧΥΔΡΟΜΕΙΟ ΠΡΟΣ ΠΟΛΗ,39.619692,19.919542
221,IKA,ΙΚΑ,39.624553,19.913403
222,CUSTOMS,ΤΕΛΩΝΕΙΟ,39.625919,19.908151
223,PORT - MANTOUKI,ΛΙΜΑΝΙ - ΜΑΝΤΟΥΚΙ,39.626863,19.904239
